Name,bet_date,Opponent,stat_name,stat_line,est_prob,opponent_rolling_rating_scaled,hit_rate,stat_average,stat_min_l5,stat_max_l5,over,log_pred,correct_log,pts,reb,ast,fg3m
Donte DiVincenzo,2024-01-25T00:00:00Z,DEN,pts,12.5,0.006809099211454895,-1.4008702045119255,0.7,11.318181818181817,0,38,1,0,1,16,3,6,4
Donte DiVincenzo,2024-01-25T00:00:00Z,DEN,ast,2.5,0.2650378729735749,-0.3437765876418974,0.7,2.1136363636363638,0,6,1,0,0,16,3,6,4
Dorian Finney-Smith,2024-01-23T00:00:00Z,NYK,pts,7.5,0.0075065455659752344,-0.8435970977909505,0.4,8.974358974358973,0,21,0,0,1,5,2,7,1
Dorian Finney-Smith,2024-01-23T00:00:00Z,NYK,reb,4.5,0.815828550087254,-0.6855383261123255,0.5,4.897435897435898,0,9,0,1,1,5,2,7,1
Dorian Finney-Smith,2024-01-23T00:00:00Z,NYK,fg3m,1.5,0.07319124716110101,-1.1710891372742527,0.3,2.076923076923077,0,5,0,0,1,5,2,7,1
Dorian Finney-Smith,2024-01-25T00:00:00Z,MIN,fg3m,1.5,0.0554899287126813,0.9655543551636933,0.2,2.0499999999999994,0,5,1,0,1,8,2,2,2
Dorian Finney-Smith,2024-01-25T00:00:00Z,MIN,pts,7.5,0.0035403929503776263,1.2607175896791292,0.3,8.875,0,21,1,0,1,8,2,2,2
Dorian Finney-Smith,2024-01-25T00:00:00Z,MIN,ast,1.5,0.03912950355326486,-0.5413806432982555,0.5,1.375,0,7,1,0,1,8,2,2,2
Duncan Robinson,2024-01-17T00:00:00Z,TOR,reb,2.5,0.5503875046382954,-2.0608810494172345,0.4,2.6578947368421053,0,8,1,1,1,14,3,1,2
Eric Gordon,2024-01-21T00:00:00Z,IND,fg3m,1.5,0.061353917175249795,-0.11957311642217665,0.6,2.5428571428571427,0,7,0,0,1,4,3,2,0
Eric Gordon,2024-01-21T00:00:00Z,IND,pts,10.5,0.013739267485187353,0.1273649309877867,0.6,12.714285714285714,0,27,0,0,1,4,3,2,0
Franz Wagner,2024-01-22T00:00:00Z,CLE,ast,3.5,0.29772834900297496,-0.5996990762595088,0.5,3.9705882352941178,0,9,0,0,1,17,3,2,2
