,participant_name,market,description,handicap
1213,Paul George,player_points_over_under,Paul George - Alt Points,18.5
1214,Paul George,player_points_over_under,Paul George - Alt Points,19.5
1215,Paul George,player_points_over_under,Paul George - Alt Points,20.5
1216,Paul George,player_points_over_under,Paul George - Alt Points,21.5
1217,Paul George,player_points_over_under,Paul George - Points,18.5
1218,Russell Westbrook,player_points_over_under,Russell Westbrook - Alt Points,10.5
1219,Russell Westbrook,player_points_over_under,Russell Westbrook - Alt Points,11.5
1220,Russell Westbrook,player_points_over_under,Russell Westbrook - Alt Points,12.5
1221,Russell Westbrook,player_points_over_under,Russell Westbrook - Alt Points,13.5
1222,Russell Westbrook,player_points_over_under,Russell Westbrook - Alt Points,14.5
1223,Russell Westbrook,player_points_over_under,Russell Westbrook - Alt Points,8.5
1224,Russell Westbrook,player_points_over_under,Russell Westbrook - Alt Points,9.5
1225,Russell Westbrook,player_points_over_under,Russell Westbrook - Points,11.5
1226,,player_points_over_under,Russell Westbrook - Points,12.5
1227,Terance Mann,player_points_over_under,Terance Mann - Points,6.5
1228,,player_points_over_under,Terry Rozier - Alt Points,10.5
1229,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,11.5
1230,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,12.5
1231,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,13.5
1232,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,14.5
1233,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,15.5
1234,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,16.5
1235,Terry Rozier,player_points_over_under,Terry Rozier - Alt Points,17.5
1236,,player_points_over_under,Terry Rozier - Points,14.5
1237,Terry Rozier,player_points_over_under,Terry Rozier - Points,15.5
1238,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,14.5
1239,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,15.5
1240,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,16.5
1241,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,17.5
1242,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,18.5
1243,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,19.5
1244,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,20.5
1245,Tyler Herro,player_points_over_under,Tyler Herro - Alt Points,21.5
1246,Tyler Herro,player_points_over_under,Tyler Herro - Points,18.5
1247,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,0.5
1248,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,1.5
1249,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,2.5
1250,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,3.5
1251,Bam Adebayo,player_assists_over_under,Bam Adebayo - Alt Assists,4.5
1252,Bam Adebayo,player_assists_over_under,Bam Adebayo - Assists,3.5
1253,James Harden,player_assists_over_under,James Harden - Alt Assists,4.5
1254,James Harden,player_assists_over_under,James Harden - Alt Assists,5.5
1255,James Harden,player_assists_over_under,James Harden - Alt Assists,6.5
1256,James Harden,player_assists_over_under,James Harden - Alt Assists,7.5
1257,James Harden,player_assists_over_under,James Harden - Alt Assists,8.5
1258,James Harden,player_assists_over_under,James Harden - Alt Assists,9.5
1259,James Harden,player_assists_over_under,James Harden - Assists,8.5
1260,Jimmy Butler,player_assists_over_under,Jimmy Butler - Alt Assists,1.5
1261,Jimmy Butler,player_assists_over_under,Jimmy Butler - Alt Assists,2.5
1262,Jimmy Butler,player_assists_over_under,Jimmy Butler - Alt Assists,3.5
1263,Jimmy Butler,player_assists_over_under,Jimmy Butler - Alt Assists,4.5
1264,Jimmy Butler,player_assists_over_under,Jimmy Butler - Alt Assists,5.5
1265,Jimmy Butler,player_assists_over_under,Jimmy Butler - Assists,4.5
1266,,player_assists_over_under,Kawhi Leonard - Alt Assists,0.5
1267,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Alt Assists,1.5
1268,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Alt Assists,2.5
1269,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Alt Assists,3.5
1270,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Alt Assists,4.5
1271,Kawhi Leonard,player_assists_over_under,Kawhi Leonard - Assists,3.5
1272,Paul George,player_assists_over_under,Paul George - Assists,2.5
1273,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,1.5
1274,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,2.5
1275,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,3.5
1276,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,4.5
1277,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,5.5
1278,Russell Westbrook,player_assists_over_under,Russell Westbrook - Alt Assists,6.5
1279,Russell Westbrook,player_assists_over_under,Russell Westbrook - Assists,4.5
1280,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,1.5
1281,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,2.5
1282,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,3.5
1283,Terry Rozier,player_assists_over_under,Terry Rozier - Alt Assists,4.5
