game_date,opponent_team,team
2025-02-26,TOR,IND
2025-02-26,PHI,NYK
2025-02-26,POR,WAS
2025-02-26,OKC,BKN
2025-02-26,ATL,MIA
2025-02-26,LAC,CHI
2025-02-26,SAC,UTA
2025-02-26,SAS,HOU
2025-02-27,GSW,ORL
2025-02-27,DEN,MIL
2025-02-27,CHA,DAL
2025-02-27,NOP,PHX
2025-02-27,MIN,LAL
2025-02-28,DEN,DET
2025-02-28,OKC,ATL
2025-02-28,CLE,BOS
2025-02-28,POR,BKN
2025-02-28,IND,MIA
2025-02-28,TOR,CHI
2025-02-28,NYK,MEM
2025-02-28,NOP,PHX
2025-02-28,MIN,UTA
2025-02-28,LAC,LAL
2025-03-01,WAS,CHA
2025-03-01,BKN,DET
2025-03-01,SAC,HOU
2025-03-01,SAS,MEM
2025-03-01,GSW,PHI
2025-03-01,MIL,DAL
2025-03-02,DEN,BOS
2025-03-02,POR,CLE
2025-03-02,CHI,IND
2025-03-02,NYK,MIA
2025-03-02,TOR,ORL
2025-03-02,OKC,SAS
2025-03-02,NOP,UTA
2025-03-02,MIN,PHX
2025-03-02,LAC,LAL
2025-03-03,GSW,CHA
2025-03-03,POR,PHI
2025-03-03,WAS,MIA
2025-03-03,ATL,MEM
2025-03-03,HOU,OKC
2025-03-03,SAC,DAL
2025-03-03,DET,UTA
2025-03-04,HOU,IND
2025-03-04,TOR,ORL
2025-03-04,MIL,ATL
2025-03-04,GSW,NYK
2025-03-04,CLE,CHI
2025-03-04,PHI,MIN
2025-03-04,BKN,SAS
2025-03-04,LAC,PHX
2025-03-04,NOP,LAL
2025-03-05,POR,BOS
2025-03-05,MIN,CHA
2025-03-05,MIA,CLE
2025-03-05,UTA,WAS
2025-03-05,OKC,MEM
2025-03-05,SAC,DEN
2025-03-05,DAL,MIL
2025-03-05,DET,LAC
2025-03-06,IND,ATL
2025-03-06,PHI,BOS
2025-03-06,GSW,BKN
2025-03-06,HOU,NOP
2025-03-06,NYK,LAL
2025-03-07,CLE,CHA
2025-03-07,UTA,TOR
2025-03-07,MEM,DAL
2025-03-07,MIN,MIA
2025-03-07,POR,OKC
2025-03-07,PHX,DEN
2025-03-07,SAS,SAC
2025-03-07,NYK,LAC
2025-03-08,BKN,CHA
2025-03-08,NOP,HOU
2025-03-08,IND,ATL
2025-03-08,WAS,TOR
2025-03-08,CHI,MIA
2025-03-08,ORL,MIL
2025-03-08,LAL,BOS
2025-03-08,DET,GSW
2025-03-09,DEN,OKC
2025-03-09,PHX,DAL
2025-03-09,MEM,NOP
2025-03-09,UTA,PHI
2025-03-09,CLE,MIL
2025-03-09,SAS,MIN
2025-03-09,DET,POR
2025-03-09,SAC,LAC
2025-03-10,PHI,ATL
2025-03-10,UTA,BOS
2025-03-10,LAL,BKN
2025-03-10,CHA,MIA
2025-03-10,WAS,TOR
2025-03-10,IND,CHI
2025-03-10,ORL,HOU
2025-03-10,PHX,MEM
2025-03-10,DEN,OKC
2025-03-10,DAL,SAS
2025-03-10,POR,GSW
2025-03-10,NYK,SAC
2025-03-11,BKN,CLE
2025-03-11,WAS,DET
2025-03-11,MIL,IND
2025-03-11,LAC,NOP
2025-03-12,CHI,ORL
2025-03-12,CHA,ATL
2025-03-12,OKC,BOS
2025-03-12,PHI,TOR
2025-03-12,LAC,MIA
2025-03-12,PHX,HOU
2025-03-12,UTA,MEM
2025-03-12,DAL,SAS
2025-03-12,MIN,DEN
2025-03-12,NYK,POR
2025-03-13,WAS,DET
2025-03-13,LAL,MIL
2025-03-13,BKN,CHI
2025-03-13,SAC,GSW
2025-03-14,BOS,MIA
2025-03-14,IND,PHI
2025-03-14,LAC,ATL
2025-03-14,DAL,HOU
2025-03-14,CLE,MEM
2025-03-14,ORL,MIN
2025-03-14,CHA,SAS
2025-03-14,LAL,DEN
2025-03-14,TOR,UTA
2025-03-14,SAC,PHX
2025-03-15,BOS,BKN
2025-03-15,OKC,DET
2025-03-15,CHI,HOU
2025-03-15,MIA,MEM
2025-03-15,IND,MIL
2025-03-15,NOP,SAS
2025-03-15,NYK,GSW
2025-03-15,WAS,DEN
2025-03-16,PHI,DAL
2025-03-16,PHX,LAL
2025-03-16,ATL,BKN
2025-03-16,ORL,CLE
2025-03-16,TOR,POR
2025-03-16,UTA,MIN
2025-03-16,OKC,MIL
2025-03-16,WAS,LAC
2025-03-17,MIA,NYK
2025-03-17,PHI,HOU
2025-03-17,IND,MIN
2025-03-17,DET,NOP
