game_date,player_name,player_id,rolling_mins,min,pos,pts,ast,reb,fg3m,ftr,reb_rate,ast_rate,fg3_rate,usage_percentage,rolling_pts,rolling_usg,rolling_ast,rolling_reb,rolling_fg3m,rolling_dfs,fan_pts,rolling_max_pts,rolling_min_pts,rolling_max_ast,rolling_min_ast,rolling_max_dfs,rolling_min_dfs,rolling_max_reb,rolling_min_reb,rolling_max_fg3m,rolling_min_fg3m,rolling_sd_dfs,rolling_sd_pts,rolling_sd_ast,rolling_sd_reb,rolling_sd_fg3m,rolling_fg3_rate,rolling_max_fg3_rate,rolling_min_fg3_rate,current_pts,current_usg,current_ast,current_reb,current_3s,current_dfs,current_mins,current_fg3_rate,prev_game_date,ppm,days_rest
2024-10-28,Deni Avdija,1630166,27.5,24,Forward,9,1,4,0,0.857142857142857,9.30232558139535,1.16959064327485,0.571428571428571,0.20565371024735,9.25,0.199344332599326,3,5.75,0.25,25.5,17,15,2,7,1,39,17,7,4,1,0,8.5848704125339,4.72228758124704,2.58843582110896,1.09544511501033,0.547722557505166,,,,9.5,0.202394181873647,4.5,6.25,0.5,31,26.75,,2024-10-27,0.355140186915888,0
2024-10-28,Dereck Lively II,1641726,22.75,26,Center,14,2,4,0,0,7.35384615384615,1.81908132587434,0,0.1592017265727,11,0.144368084635668,2.75,8.75,0,40.75,42,15,5,6,0,50,32,11,4,0,0,7.3280283842245,4.15932686861708,2.38746727726266,2.96647939483827,0,,,,9.5,0.144720935231747,3.5,9.5,0,38.5,22.25,,2024-10-26,0.426966292134831,1
2024-10-28,Derrick White,1628401,31.75,33,Guard,13,8,3,3,0,5.4320987654321,5.65008025682183,0.769230769230769,0.177595628415301,18.25,0.203193577658968,4.75,4,3.25,42.75,41,24,13,8,3,50,40,6,2,6,0,4.38178046004133,4.49444101084885,2.07364413533277,1.51657508881031,2.30217288664427,,,,20.75,0.241817665245077,3.5,3.75,3.75,42.5,31.25,,2024-10-26,0.664,1
2024-10-28,Desmond Bane,1630217,28.75,31,Guard,30,4,7,6,0.105263157894737,9.81231671554252,2.59106678230702,0.526315789473684,0.254068914956012,21,0.263129461605288,3.5,5.25,3,43.5,59,30,13,7,2,59,33,7,3,6,0,9.96493853468249,6.58027355054484,1.78885438199983,1.87082869338697,2.28035085019828,,,,18.25,0.271104315524975,4.25,4.5,2,40.75,27.5,,2024-10-26,0.663636363636364,1
2024-10-28,Devin Booker,1626164,35.75,39,Guard,33,2,3,3,0.347826086956522,3.99665551839465,1.3142338676418,0.347826086956522,0.330390189520624,23,0.264732133689388,4.25,2.75,3.25,37.75,44,33,15,6,2,44,31,4,1,4,2,5.54977477020464,6.49615270756469,1.78885438199983,1.09544511501033,0.836660026534076,,,,20.25,0.261791641948258,4.25,2.75,3.25,34.5,32.75,,2024-10-26,0.618320610687023,1
2024-10-28,Dillon Brooks,1628415,33.25,36,Guard-Forward,7,0,7,1,0.222222222222222,10.1871980676329,0,0.444444444444444,0.122984587413743,10.75,0.133433507060399,0.25,4,1.75,20.75,17,18,2,4,0,34,4,7,2,4,0,12.7200628929263,6.557438524302,1.73205080756888,2.30217288664427,1.48323969741913,,,,12,0.14468705475464,1.25,4,2,25,30.75,,2024-10-26,0.390243902439024,1
2024-10-28,Domantas Sabonis,1627734,34,35,Forward-Center,16,7,13,1,0.75,20.7308970099668,5.38893344025662,0.25,0.176474393530997,23.25,0.259315362874848,5.75,10.5,1.25,55.75,52,29,16,10,1,81,44,17,8,3,0,18.146625030567,5.31977443130815,3.42052627529741,3.56370593624109,1.09544511501033,,,,26.5,0.28834640174595,6,11.5,1.25,62.5,34.25,,2024-10-26,0.773722627737226,1
2024-10-28,Donovan Mitchell,1628378,29.75,33,Guard,25,5,2,3,0.235294117647059,3.46320346320346,3.99800099950025,0.470588235294118,0.313617417065693,23.75,0.335511687140396,4.5,2.5,3,39,35,30,19,5,3,59,23,4,2,6,1,13.2363136862194,4.27784992724149,0.894427190999916,1.09544511501033,1.92353840616713,,,,23,0.33244669938981,4.25,3,2.75,38.5,30,,2024-10-26,0.766666666666667,1
2024-10-28,Doug McDermott,203926,,2,Forward,6,0,0,2,0,0,0,0.666666666666667,0.679245283018868,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-24,,3
2024-10-28,Duncan Robinson,1629130,16,16,Forward,6,0,1,2,0,3.07397959183673,0,0.875,0.256261814744802,4.75,0.208191830410981,1.25,0.75,1.25,6.75,4,10,3,4,0,24,4,3,0,2,0,7.94984276574072,2.68328157299975,1.6431676725155,1.09544511501033,0.894427190999916,,,,5.75,0.202281495332504,2.25,1.25,1.25,11.75,16.75,,2024-10-26,0.343283582089552,1
