player_name,fantasy_team,pro_team,position,injured,injury_status,is_free_agent
Luka Mitrovic,Free Agent,PHL,SF,False,[],True
Lance Thomas,Free Agent,BKN,PF,False,[],True
Mangok Mathiang,Free Agent,CHA,PF,False,[],True
Coty Clarke,Free Agent,BOS,PF,False,[],True
Alpha Kaba,Free Agent,ATL,PF,False,[],True
Joe Wieskamp,Free Agent,DAL,SF,False,[],True
Jemerrio Jones,Free Agent,LAL,SF,False,[],True
Jameel Warney,Free Agent,DAL,PF,False,[],True
Derrick Walton Jr.,Free Agent,DET,PG,False,[],True
Nikola Radicevic,Free Agent,DEN,PG,False,[],True
Skylar Mays,Free Agent,MIN,SG,False,ACTIVE,True
Alec Peters,Free Agent,PHO,PF,False,[],True
Kennedy Chandler,Free Agent,FA,PG,False,ACTIVE,True
Jacob Wiley,Free Agent,BKN,SF,False,[],True
Justise Winslow,Free Agent,TOR,SF,False,[],True
BJ Johnson,Free Agent,ORL,SF,False,[],True
Greg Whittington,Free Agent,DEN,SF,False,[],True
Tim Frazier,Free Agent,CLE,PG,False,[],True
Julian Washburn,Free Agent,GSW,SF,False,[],True
Alex Poythress,Free Agent,ATL,PF,False,[],True
Davon Reed,Free Agent,LAL,SG,False,[],True
Richard Solomon,Free Agent,OKC,PF,False,[],True
Jaylen Hoard,Free Agent,OKC,SF,False,[],True
Tyler Johnson,Free Agent,SAS,PG,False,[],True
Tyler Ennis,Free Agent,LAL,PG,False,[],True
Tyler Davis,Free Agent,OKC,C,False,[],True
Killian Tillie,Free Agent,MEM,C,False,[],True
Melvin Ajinca,Free Agent,FA,SG,False,ACTIVE,True
Wesley Matthews,Free Agent,FA,SF,False,ACTIVE,True
Zavier Simpson,Free Agent,FA,PG,False,ACTIVE,True
Jacob Gilyard,Free Agent,FA,PG,False,ACTIVE,True
Naz Mitrou-Long,Free Agent,IND,SG,False,[],True
Jalen Jones,Free Agent,WAS,SF,False,[],True
Jordan Adams,Free Agent,MEM,SG,False,[],True
Marshall Plumlee,Free Agent,MIL,C,False,[],True
Josh Gray,Free Agent,BKN,PG,False,[],True
Semaj Christon,Free Agent,OKC,PG,False,[],True
Russ Smith,Free Agent,MEM,PG,False,[],True
Eric Atkins,Free Agent,UTA,PG,False,[],True
Tyler Cook,Free Agent,CHI,PF,False,[],True
Ben Moore,Free Agent,SAS,PF,False,[],True
Dakari Johnson,Free Agent,MEM,C,False,[],True
Mitchell Watt,Free Agent,FA,PF,False,[],True
Kobi Simmons,Free Agent,FA,PG,False,ACTIVE,True
MarShon Brooks,Free Agent,CHI,SG,False,[],True
Chris Johnson,Free Agent,HOU,SF,False,[],True
Chaundee Brown Jr.,Free Agent,ATL,SG,False,[],True
Dwight Buycks,Free Agent,DET,PG,False,[],True
Brice Johnson,Free Agent,DET,PF,False,[],True
Aron Baynes,Free Agent,TOR,C,False,[],True
Juhann Begarin,Free Agent,BOS,SG,False,[],True
Cameron Bairstow,Free Agent,DET,PF,False,[],True
Xavier Rathan-Mayes,Free Agent,NYK,PG,False,[],True
Brandon Goodwin,Free Agent,CLE,PG,False,[],True
Edy Tavares,Free Agent,CLE,C,False,[],True
Vincent Poirier,Free Agent,NYK,C,False,[],True
Jaylen Adams,Free Agent,MIL,PG,False,[],True
