player_name,pro_team,position,injured,injury_status,acquisition_type,percent_owned,projected_points,points_scored
Royce O'Neale,PHO,SF,False,ACTIVE,[],,2016.0,756.0
Ben Simmons,BKN,PG,False,ACTIVE,[],,1500.0,554.0
Julian Champagnie,SAS,SF,False,ACTIVE,[],,1199.0,734.0
Marcus Smart,MEM,SG,False,ACTIVE,[],,1854.0,361.0
Moritz Wagner,ORL,C,False,ACTIVE,[],,1704.0,742.0
Kevin Huerter,SAC,SG,False,DAY_TO_DAY,[],,1788.0,558.0
Jaden McDaniels,MIN,SF,False,ACTIVE,[],,1763.0,613.0
Brandon Boston,NOP,SG,False,ACTIVE,[],,0.0,641.0
Cason Wallace,OKC,SG,False,ACTIVE,[],,1406.0,597.0
Andre Drummond,PHL,C,False,ACTIVE,[],,2530.0,526.0
Robert Williams III,POR,C,True,OUT,[],,1846.0,236.0
Wendell Carter Jr.,ORL,C,False,ACTIVE,[],,2245.0,423.0
Kentavious Caldwell-Pope,ORL,SG,False,ACTIVE,[],,1879.0,541.0
Bronny James,LAL,PG,False,ACTIVE,[],,482.0,10.0
Harrison Barnes,SAS,PF,False,ACTIVE,[],,2064.0,588.0
Ty Jerome,CLE,PG,False,ACTIVE,[],,0.0,625.0
Tre Mann,CHA,PG,True,OUT,[],,1687.0,321.0
Dillon Brooks,HOU,SF,False,DAY_TO_DAY,[],,1533.0,604.0
Spencer Dinwiddie,DAL,PG,False,ACTIVE,[],,1920.0,438.0
Rob Dillingham,MIN,PG,False,ACTIVE,[],,1172.0,86.0
Obi Toppin,IND,PF,False,ACTIVE,[],,1852.0,641.0
Miles McBride,NYK,PG,False,ACTIVE,[],,1380.0,477.0
Kelly Olynyk,TOR,C,False,ACTIVE,[],,2263.0,59.0
